surface	variant_kind	wire_literal	owner_task	introduced_version	payload_schema	result_schema	error_schema	subject_cas_mode	audience	operation_error_code
EMPLOYEE	COMMAND	purchase_return.change_draft	F57-20	1.2.0-f57	PurchaseReturnChangeDraftRequestV1	PurchaseReturnAcceptedV1	EmployeePurchaseReturnChangeDraftErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	purchase_return.create	F57-20	1.2.0-f57	PurchaseReturnCreateRequestV1	PurchaseReturnAcceptedV1	EmployeePurchaseReturnCreateErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	purchase_return.decide	F57-20	1.2.0-f57	PurchaseReturnDecideRequestV1	PurchaseReturnAcceptedV1	EmployeePurchaseReturnDecideErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	purchase_return.post	F57-20	1.2.0-f57	PurchaseReturnPostRequestV1	PurchaseReturnAcceptedV1	EmployeePurchaseReturnPostErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	purchase_return.record_supplier_refusal	F57-20	1.2.0-f57	PurchaseReturnRecordSupplierRefusalRequestV1	PurchaseReturnAcceptedV1	EmployeePurchaseReturnRecordSupplierRefusalErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	purchase_return.submit	F57-20	1.2.0-f57	PurchaseReturnSubmitRequestV1	PurchaseReturnAcceptedV1	EmployeePurchaseReturnSubmitErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	purchase_return.void	F57-20	1.2.0-f57	PurchaseReturnVoidRequestV1	PurchaseReturnAcceptedV1	EmployeePurchaseReturnVoidErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	receipt.allocate	F57-20	1.2.0-f57	ReceiptAllocateRequestV1	ReceiptAcceptedV1	EmployeeReceiptAllocateErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	receipt.create	F57-20	1.2.0-f57	ReceiptCreateRequestV1	ReceiptAcceptedV1	EmployeeReceiptCreateErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	receipt.post	F57-20	1.2.0-f57	ReceiptPostRequestV1	ReceiptAcceptedV1	EmployeeReceiptPostErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	receipt.reverse	F57-20	1.2.0-f57	ReceiptReverseRequestV1	ReceiptAcceptedV1	EmployeeReceiptReverseErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	receipt_rejection.register	F57-20	1.2.0-f57	ReceiptRejectionRegisterRequestV1	ReceiptRejectionAcceptedV1	EmployeeReceiptRejectionRegisterErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	refund.create	F57-20	1.2.0-f57	RefundCreateRequestV1	RefundAcceptedV1	EmployeeRefundCreateErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	refund.decide	F57-20	1.2.0-f57	RefundDecideRequestV1	RefundAcceptedV1	EmployeeRefundDecideErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	refund.post	F57-20	1.2.0-f57	RefundPostRequestV1	RefundAcceptedV1	EmployeeRefundPostErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	rfq_round.begin_evaluation	F57-20	1.2.0-f57	RfqRoundBeginEvaluationRequestV1	RfqRoundAcceptedV1	EmployeeRfqRoundBeginEvaluationErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	rfq_round.cancel	F57-20	1.2.0-f57	RfqRoundCancelRequestV1	RfqRoundAcceptedV1	EmployeeRfqRoundCancelErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	rfq_round.change_draft	F57-20	1.2.0-f57	RfqRoundChangeDraftRequestV1	RfqRoundAcceptedV1	EmployeeRfqRoundChangeDraftErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	rfq_round.close_no_award	F57-20	1.2.0-f57	RfqRoundCloseNoAwardRequestV1	RfqRoundAcceptedV1	EmployeeRfqRoundCloseNoAwardErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	rfq_round.create	F57-20	1.2.0-f57	RfqRoundCreateRequestV1	RfqRoundAcceptedV1	EmployeeRfqRoundCreateErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	rfq_round.decide	F57-20	1.2.0-f57	RfqRoundDecideRequestV1	RfqRoundAcceptedV1	EmployeeRfqRoundDecideErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	rfq_round.open	F57-20	1.2.0-f57	RfqRoundOpenRequestV1	RfqRoundAcceptedV1	EmployeeRfqRoundOpenErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	rfq_round.submit	F57-20	1.2.0-f57	RfqRoundSubmitRequestV1	RfqRoundAcceptedV1	EmployeeRfqRoundSubmitErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	sales.delivery.confirm	F57-20	1.2.0-f57	SalesDeliveryConfirmRequestV1	DeliveryConfirmedV1	EmployeeSalesDeliveryConfirmErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	sales_invoice.create	F57-20	1.2.0-f57	SalesInvoiceCreateRequestV1	InvoiceAcceptedV1	EmployeeSalesInvoiceCreateErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	sales_invoice.post	F57-20	1.2.0-f57	SalesInvoicePostRequestV1	InvoiceAcceptedV1	EmployeeSalesInvoicePostErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	sales_return.cancel	F57-20	1.2.0-f57	SalesReturnCancelRequestV1	SalesReturnAcceptedV1	EmployeeSalesReturnCancelErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	sales_return.close	F57-20	1.2.0-f57	SalesReturnCloseRequestV1	SalesReturnAcceptedV1	EmployeeSalesReturnCloseErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	sales_return.create	F57-20	1.2.0-f57	SalesReturnCreateRequestV1	SalesReturnAcceptedV1	EmployeeSalesReturnCreateErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	sales_return.link_exchange	F57-20	1.2.0-f57	SalesReturnLinkExchangeRequestV1	SalesReturnAcceptedV1	EmployeeSalesReturnLinkExchangeErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	sales_return.register	F57-20	1.2.0-f57	SalesReturnRegisterRequestV1	SalesReturnAcceptedV1	EmployeeSalesReturnRegisterErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	sales_return.submit	F57-20	1.2.0-f57	SalesReturnSubmitRequestV1	SalesReturnAcceptedV1	EmployeeSalesReturnSubmitErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	stock_adjustment.create	F57-20	1.2.0-f57	StockAdjustmentCreateRequestV1	StockAdjustmentAcceptedV1	EmployeeStockAdjustmentCreateErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	stock_adjustment.decide	F57-20	1.2.0-f57	StockAdjustmentDecideRequestV1	StockAdjustmentAcceptedV1	EmployeeStockAdjustmentDecideErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	stock_adjustment.post	F57-20	1.2.0-f57	StockAdjustmentPostRequestV1	StockAdjustmentAcceptedV1	EmployeeStockAdjustmentPostErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	stock_adjustment.submit	F57-20	1.2.0-f57	StockAdjustmentSubmitRequestV1	StockAdjustmentAcceptedV1	EmployeeStockAdjustmentSubmitErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	supplier_quote.register	F57-20	1.2.0-f57	SupplierQuoteRegisterRequestV1	SupplierQuoteAcceptedV1	EmployeeSupplierQuoteRegisterErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	supplier_quote.validate	F57-20	1.2.0-f57	SupplierQuoteValidateRequestV1	SupplierQuoteAcceptedV1	EmployeeSupplierQuoteValidateErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	supplier_quote.withdraw	F57-20	1.2.0-f57	SupplierQuoteWithdrawRequestV1	SupplierQuoteAcceptedV1	EmployeeSupplierQuoteWithdrawErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	aging.payable.get	F57-20	1.2.0-f57	AgingPayableGetQueryV1	AgingPayableViewV1	EmployeeAgingPayableGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	aging.receivable.get	F57-20	1.2.0-f57	AgingReceivableGetQueryV1	AgingReceivableViewV1	EmployeeAgingReceivableGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	allocation.list	F57-20	1.2.0-f57	AllocationListQueryV1	AllocationPageV1	EmployeeAllocationListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	award.get	F57-20	1.2.0-f57	AwardGetQueryV1	AwardViewV1	EmployeeAwardGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	award.list	F57-20	1.2.0-f57	AwardListQueryV1	AwardPageV1	EmployeeAwardListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	billing_request.get	F57-20	1.2.0-f57	BillingRequestGetQueryV1	BillingRequestViewV1	EmployeeBillingRequestGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	billing_request.list	F57-20	1.2.0-f57	BillingRequestListQueryV1	BillingRequestPageV1	EmployeeBillingRequestListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	cash_account.get	F57-20	1.2.0-f57	CashAccountGetQueryV1	CashAccountViewV1	EmployeeCashAccountGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	cash_account.list	F57-20	1.2.0-f57	CashAccountListQueryV1	CashAccountPageV1	EmployeeCashAccountListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	cash_ledger.list	F57-20	1.2.0-f57	CashLedgerListQueryV1	CashLedgerPageV1	EmployeeCashLedgerListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	delivery_confirmation.get	F57-20	1.2.0-f57	DeliveryConfirmationGetQueryV1	DeliveryConfirmationViewV1	EmployeeDeliveryConfirmationGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	delivery_confirmation.list	F57-20	1.2.0-f57	DeliveryConfirmationListQueryV1	DeliveryConfirmationPageV1	EmployeeDeliveryConfirmationListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	goods_receipt.get	F57-20	1.2.0-f57	GoodsReceiptGetQueryV1	GoodsReceiptViewV1	EmployeeGoodsReceiptGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	goods_receipt.list	F57-20	1.2.0-f57	GoodsReceiptListQueryV1	GoodsReceiptPageV1	EmployeeGoodsReceiptListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	inventory_availability.get	F57-20	1.2.0-f57	InventoryAvailabilityGetQueryV1	InventoryAvailabilityViewV1	EmployeeInventoryAvailabilityGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	inventory_balance.get	F57-20	1.2.0-f57	InventoryBalanceGetQueryV1	InventoryBalanceViewV1	EmployeeInventoryBalanceGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	inventory_balance.list	F57-20	1.2.0-f57	InventoryBalanceListQueryV1	InventoryBalancePageV1	EmployeeInventoryBalanceListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	inventory_movement.list	F57-20	1.2.0-f57	InventoryMovementListQueryV1	InventoryMovementPageV1	EmployeeInventoryMovementListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	inventory_valuation.get	F57-20	1.2.0-f57	InventoryValuationGetQueryV1	InventoryValuationViewV1	EmployeeInventoryValuationGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	invoice.get	F57-20	1.2.0-f57	InvoiceGetQueryV1	InvoiceViewV1	EmployeeInvoiceGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	invoice.list	F57-20	1.2.0-f57	InvoiceListQueryV1	InvoicePageV1	EmployeeInvoiceListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	operating_period.get	F57-20	1.2.0-f57	OperatingPeriodGetQueryV1	OperatingPeriodViewV1	EmployeeOperatingPeriodGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	operating_period.list	F57-20	1.2.0-f57	OperatingPeriodListQueryV1	OperatingPeriodPageV1	EmployeeOperatingPeriodListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	payable.get	F57-20	1.2.0-f57	PayableGetQueryV1	PayableViewV1	EmployeePayableGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	payable.list	F57-20	1.2.0-f57	PayableListQueryV1	PayablePageV1	EmployeePayableListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	procurement_demand.get	F57-20	1.2.0-f57	ProcurementDemandGetQueryV1	ProcurementDemandViewV1	EmployeeProcurementDemandGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	procurement_demand.list	F57-20	1.2.0-f57	ProcurementDemandListQueryV1	ProcurementDemandPageV1	EmployeeProcurementDemandListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	purchase_order.get	F57-20	1.2.0-f57	PurchaseOrderGetQueryV1	PurchaseOrderViewV1	EmployeePurchaseOrderGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	purchase_order.list	F57-20	1.2.0-f57	PurchaseOrderListQueryV1	PurchaseOrderPageV1	EmployeePurchaseOrderListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	purchase_return.get	F57-20	1.2.0-f57	PurchaseReturnGetQueryV1	PurchaseReturnViewV1	EmployeePurchaseReturnGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	purchase_return.list	F57-20	1.2.0-f57	PurchaseReturnListQueryV1	PurchaseReturnPageV1	EmployeePurchaseReturnListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	receivable.get	F57-20	1.2.0-f57	ReceivableGetQueryV1	ReceivableViewV1	EmployeeReceivableGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	receivable.list	F57-20	1.2.0-f57	ReceivableListQueryV1	ReceivablePageV1	EmployeeReceivableListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	rfq_round.get	F57-20	1.2.0-f57	RfqRoundGetQueryV1	RfqRoundViewV1	EmployeeRfqRoundGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	rfq_round.list	F57-20	1.2.0-f57	RfqRoundListQueryV1	RfqRoundPageV1	EmployeeRfqRoundListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	sales_return.get	F57-20	1.2.0-f57	SalesReturnGetQueryV1	SalesReturnViewV1	EmployeeSalesReturnGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	sales_return.list	F57-20	1.2.0-f57	SalesReturnListQueryV1	SalesReturnPageV1	EmployeeSalesReturnListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	serial_trace.get	F57-20	1.2.0-f57	SerialTraceGetQueryV1	SerialTraceViewV1	EmployeeSerialTraceGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	subledger_reconciliation.get	F57-20	1.2.0-f57	SubledgerReconciliationGetQueryV1	SubledgerReconciliationViewV1	EmployeeSubledgerReconciliationGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	supplier_quote.get	F57-20	1.2.0-f57	SupplierQuoteGetQueryV1	SupplierQuoteViewV1	EmployeeSupplierQuoteGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	supplier_quote.list	F57-20	1.2.0-f57	SupplierQuoteListQueryV1	SupplierQuotePageV1	EmployeeSupplierQuoteListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	trial_balance.get	F57-20	1.2.0-f57	TrialBalanceGetQueryV1	TrialBalanceViewV1	EmployeeTrialBalanceGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	complaint.acknowledge	F57-21	1.3.0-f57	ComplaintAcknowledgeRequestV1	ComplaintAcceptedV1	EmployeeComplaintAcknowledgeErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	complaint.cancel	F57-21	1.3.0-f57	ComplaintCancelRequestV1	ComplaintAcceptedV1	EmployeeComplaintCancelErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	complaint.close	F57-21	1.3.0-f57	ComplaintCloseRequestV1	ComplaintAcceptedV1	EmployeeComplaintCloseErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	complaint.plan_action	F57-21	1.3.0-f57	ComplaintPlanActionRequestV1	ComplaintAcceptedV1	EmployeeComplaintPlanActionErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	complaint.register	F57-21	1.3.0-f57	ComplaintRegisterRequestV1	ComplaintAcceptedV1	EmployeeComplaintRegisterErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	complaint.reopen	F57-21	1.3.0-f57	ComplaintReopenRequestV1	ComplaintAcceptedV1	EmployeeComplaintReopenErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	complaint.resolve	F57-21	1.3.0-f57	ComplaintResolveRequestV1	ComplaintAcceptedV1	EmployeeComplaintResolveErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	complaint.resume_investigation	F57-21	1.3.0-f57	ComplaintResumeInvestigationRequestV1	ComplaintAcceptedV1	EmployeeComplaintResumeInvestigationErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	complaint.start_investigation	F57-21	1.3.0-f57	ComplaintStartInvestigationRequestV1	ComplaintAcceptedV1	EmployeeComplaintStartInvestigationErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	complaint.submit_closure_review	F57-21	1.3.0-f57	ComplaintSubmitClosureReviewRequestV1	ComplaintAcceptedV1	EmployeeComplaintSubmitClosureReviewErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	complaint.wait_customer	F57-21	1.3.0-f57	ComplaintWaitCustomerRequestV1	ComplaintAcceptedV1	EmployeeComplaintWaitCustomerErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	corrective_action.complete	F57-21	1.3.0-f57	CorrectiveActionCompleteRequestV1	CorrectiveActionAcceptedV1	EmployeeCorrectiveActionCompleteErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	corrective_action.create	F57-21	1.3.0-f57	CorrectiveActionCreateRequestV1	CorrectiveActionAcceptedV1	EmployeeCorrectiveActionCreateErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	equipment.change	F57-21	1.3.0-f57	EquipmentChangeRequestV1	EquipmentAcceptedV1	EmployeeEquipmentChangeErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	equipment.change_status	F57-21	1.3.0-f57	EquipmentChangeStatusRequestV1	EquipmentAcceptedV1	EmployeeEquipmentChangeStatusErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	equipment.create	F57-21	1.3.0-f57	EquipmentCreateRequestV1	EquipmentAcceptedV1	EmployeeEquipmentCreateErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	equipment.create_from_delivery	F57-21	1.3.0-f57	EquipmentCreateFromDeliveryRequestV1	EquipmentAcceptedV1	EmployeeEquipmentCreateFromDeliveryErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	equipment.update_warranty	F57-21	1.3.0-f57	EquipmentUpdateWarrantyRequestV1	EquipmentAcceptedV1	EmployeeEquipmentUpdateWarrantyErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	expense.correct	F57-21	1.3.0-f57	ExpenseCorrectRequestV1	ExpenseAcceptedV1	EmployeeExpenseCorrectErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	expense.create	F57-21	1.3.0-f57	ExpenseCreateRequestV1	ExpenseAcceptedV1	EmployeeExpenseCreateErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	expense.submit	F57-21	1.3.0-f57	ExpenseSubmitRequestV1	ExpenseAcceptedV1	EmployeeExpenseSubmitErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	maintenance_plan.change	F57-21	1.3.0-f57	MaintenancePlanChangeRequestV1	MaintenancePlanAcceptedV1	EmployeeMaintenancePlanChangeErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	maintenance_plan.create	F57-21	1.3.0-f57	MaintenancePlanCreateRequestV1	MaintenancePlanAcceptedV1	EmployeeMaintenancePlanCreateErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	maintenance_plan.pause	F57-21	1.3.0-f57	MaintenancePlanPauseRequestV1	MaintenancePlanAcceptedV1	EmployeeMaintenancePlanPauseErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	maintenance_plan.resume	F57-21	1.3.0-f57	MaintenancePlanResumeRequestV1	MaintenancePlanAcceptedV1	EmployeeMaintenancePlanResumeErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	maintenance_plan.terminate	F57-21	1.3.0-f57	MaintenancePlanTerminateRequestV1	MaintenancePlanAcceptedV1	EmployeeMaintenancePlanTerminateErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	part_usage.cancel	F57-21	1.3.0-f57	PartUsageCancelRequestV1	PartUsageAcceptedV1	EmployeePartUsageCancelErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	part_usage.mark_consumed	F57-21	1.3.0-f57	PartUsageMarkConsumedRequestV1	PartUsageAcceptedV1	EmployeePartUsageMarkConsumedErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	part_usage.mark_issued	F57-21	1.3.0-f57	PartUsageMarkIssuedRequestV1	PartUsageAcceptedV1	EmployeePartUsageMarkIssuedErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	part_usage.mark_reserved	F57-21	1.3.0-f57	PartUsageMarkReservedRequestV1	PartUsageAcceptedV1	EmployeePartUsageMarkReservedErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	part_usage.mark_returned	F57-21	1.3.0-f57	PartUsageMarkReturnedRequestV1	PartUsageAcceptedV1	EmployeePartUsageMarkReturnedErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	part_usage.mark_scrapped	F57-21	1.3.0-f57	PartUsageMarkScrappedRequestV1	PartUsageAcceptedV1	EmployeePartUsageMarkScrappedErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	part_usage.request	F57-21	1.3.0-f57	PartUsageRequestRequestV1	PartUsageAcceptedV1	EmployeePartUsageRequestErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	part_usage.split	F57-21	1.3.0-f57	PartUsageSplitRequestV1	PartUsageAcceptedV1	EmployeePartUsageSplitErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	project.change	F57-21	1.3.0-f57	ProjectChangeRequestV1	ProjectAcceptedV1	EmployeeProjectChangeErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
